id,name,album,release_date,track_number,duration_ms,url,views,tematica,arq_letra
154,...Ready For It?,reputation,2017-11-10,1,208186,https://www.youtube.com/watch?v=wIft-t-MQuE,332978654,Romântica,
155,End Game,reputation,2017-11-10,2,244826,https://www.youtube.com/watch?v=dfnCAmr569k,278539303,Romântica,
156,I Did Something Bad,reputation,2017-11-10,3,238253,https://www.youtube.com/watch?v=xYLxUJ9v6KU,29997519,Vingativa,
157,Don’t Blame Me,reputation,2017-11-10,4,236413,https://www.youtube.com/watch?v=kRJKB291Z1g,112797290,Romântica,
158,Delicate,reputation,2017-11-10,5,232253,https://www.youtube.com/watch?v=tCXGJQYZ9JA,515009745,Insegura,
159,Look What You Made Me Do,reputation,2017-11-10,6,211853,https://www.youtube.com/watch?v=3tmd-ClpJxA,1421145075,Vingativa,
160,So It Goes...,reputation,2017-11-10,7,227906,https://www.youtube.com/watch?v=iAv1Y1YIwm8,9552330,Romântica,
161,Gorgeous,reputation,2017-11-10,8,209680,https://www.youtube.com/watch?v=5DT_ZkSLc4o,6435161,Romântica,
162,Getaway Car,reputation,2017-11-10,9,233626,https://www.youtube.com/watch?v=FhPLQVlUiNQ,48270487,Lembrança,
163,King Of My Heart,reputation,2017-11-10,10,214320,https://www.youtube.com/watch?v=5U7bF68xcRg,17531295,Romântica,
164,Dancing With Our Hands Tied,reputation,2017-11-10,11,211506,https://www.youtube.com/watch?v=erGyUphZSt8,10414921,Lembrança,
165,Dress,reputation,2017-11-10,12,230373,https://www.youtube.com/watch?v=FNEoPctNIUE,18868968,Romântica,
166,This Is Why We Can't Have Nice Things,reputation,2017-11-10,13,207133,https://www.youtube.com/watch?v=6Z3QJ4L1Bg0,13733503,Vingativa,
167,Call It What You Want,reputation,2017-11-10,14,203506,https://www.youtube.com/watch?v=J1oCCGSt6XA,3713613,Romântica,
168,New Year’s Day,reputation,2017-11-10,15,235466,https://www.youtube.com/watch?v=KkvTYrFIxNM,6559786,Romântica,
